System,Process,Instructions,Rationale
Oracle (Unity),Access Setup,"Raise a ticket using 'GC Oracle (Unity) User Set Up' or 'User Job Change' via My Connect.",Ensures proper user credentials and security protocols for global regions[cite: 340].
OMT Ninja,Worksheet Access,"Access worksheets via Americas (AC prod), APAC, and EMEA/AIS region links to manage order backlog.",Centralizes order management for global business units[cite: 10].
Oracle (Unity),Missing Cost Error,"1. Select the line in error. 2. Press 'Get Cost'. 3. Refresh and press 'Book' to finalize.",Resolves 'Line does not have Buy Price Basis' alerts[cite: 12].
Oracle (Unity),Hard Credit Check,"1. Click 'Book'. 2. If 'Hard credit check hold' appears, notify customer via 'CRERDITHOLD' canned email. 3. CC the assigned collector.",Prevents booking of orders for customers with credit issues until cleared by finance[cite: 22, 23, 24].
Oracle (Unity),Missing Ship Method,"1. Search order in Navision copy mailbox (Outlook). 2. Go to 'Line Item Details' in Unity. 3. Select ship method and account number matching the confirmation.",Ensures correct logistics and billing for customer-specific shipping accounts[cite: 16, 18, 20].
Business Ops,Dropship Research,"Analyze why a supplier shipped without approval, if credit is possible, and if customer must be charged.",Determines financial liability and necessary data corrections for dropship discrepancies[cite: 2, 889].
Oracle (Unity),Replacement SO Creation,"Create a new SO with original info. Set Resale to $0.00, remove freight, and include 3rd party supplier in MFR field (e.g., MOLEX_WAL).",Allows supplier payment for unbilled dropship quantities without overcharging the customer[cite: 3].
Oracle (Unity),Manual Header Hold,"Immediately place a newly created replacement SO on a manual header hold.",Prevents erroneous shipping while reaching out to 3rd party suppliers for PO cancellation[cite: 5].
Business Ops,Dropship AP Confirmation,"Email AP the new dropship PO# (Subject: 'Dropship Order [PO#] - Please confirm receipt') and CC Sophia Ciarlo.",Enables AP to match receipts and pay suppliers for replacement orders[cite: 7].
Cross Dock,Short Shipment Handling,"1. Email 'POSHORTSHIP' to supplier. 2. Amend QTY in Unity. 3. Email 'SHORTSHIP' to customer. 4. Process refund.",Manages inventory and customer expectations when items are received incomplete[cite: 41, 42, 43].
Cross Dock,Over Shipment Handling,"1. Inform supplier of extra qty. 2. Create Stand-Alone PO in system. 3. Request RMA from supplier.",Corrects system inventory when suppliers send more parts than ordered[cite: 44].
Cross Dock,Damage/Wrong Part Handling,"1. Email supplier and customer. 2. Cancel the order in system. 3. Request RMA and complete refund.",Standardizes the return and refund process for non-conforming goods[cite: 45].
IT Ticket,WMS/DID Issue,"Raise an IT ticket under 'Digital Issue' section providing warehouse details. Delete backorder alerts after check.",Generates a new Delivery ID (DID) when the warehouse management system fails to drop one[cite: 48].
EUProd (EMEA),Entered Status Stock Check,"If stock is available, book order and select 'Do not send email'. If no stock, follow stockout process.",Controls customer notifications based on real-time EMEA stock availability[cite: 55, 56].
EUProd (EMEA),Negative Margin Fix,"Copy the value from the 'Cost' field to the 'Resale' field until the margin is 0.",Ensures intercompany orders are processed with 0 margin per policy[cite: 72, 74].
Salesforce,Case Navigation,"Search for the order/SO number in the 'Digital Customer Tab' on SWB to find notes, vendor names, and internal tracking.",Enables agents to provide specific and accurate status updates to customers[cite: 957].
ETQ Portal,Sure Ship Domestic,"1. Go to 'eRequests: Quality, GTMC & Warehouse'. 2. Select 'Sure Ship Domestic - Draft'. 3. Provide warehouse code and requestor email.",Expedites processing for Delivery IDs stuck in 'Released' or 'Picked' status for >2 days[cite: 993, 994, 996].
IMS System,Supplier Status Check,"Check lead time with the supplier using the IMS system for orders in 'Awaiting Receipt' status.",Provides visibility on incoming shipments from suppliers to cross-dock facilities[cite: 971].
Oracle (Unity),Delink Invoice,"Email delink_and_rematch_invoices@arrow.com with SO/PO details to request delinking.",Required when an order has been billed but quantity or price amendments are necessary[cite: 97, 98].
